Bedform type,Flow velocity (m/s),Mean flow depth (m),grain size (mm)
LR,0.36,0.02,1.3
UP,1.3,0.02,1.3
UP,1.71,0.02,1.3
LP,0.37,0.03,1.3
LP,0.39,0.03,1.3
LP,0.39,0.03,1.3
LR,0.44,0.03,1.3
A,0.45,0.03,1.3
A,0.45,0.03,1.3
A,0.51,0.03,1.3
A,0.51,0.03,1.3
LR,0.53,0.03,1.3
A,0.58,0.03,1.3
A,0.59,0.03,1.3
A,0.62,0.03,1.3
A,0.64,0.03,1.3
A,0.67,0.03,1.3
A,0.68,0.03,1.3
A,0.82,0.03,1.3
A,0.96,0.03,1.3
A,1.01,0.03,1.3
UP,1.4,0.03,1.3
LP,0.33,0.04,1.3
LR,0.37,0.04,1.3
LP,0.4,0.04,1.3
LP,0.46,0.04,1.3
LP,0.47,0.04,1.3
LR,0.48,0.04,1.3
LP,0.49,0.04,1.3
A,0.53,0.04,1.3
A,0.6,0.04,1.3
A,0.7,0.04,1.3
A,0.82,0.04,1.3
A,0.88,0.04,1.3
UP,1.01,0.04,1.3
A,1.02,0.04,1.3
UP,1.1,0.04,1.3
LP,0.31,0.07,1.3
LP,0.33,0.07,1.3
LP,0.34,0.07,1.3
LP,0.36,0.09,1.3
LP,0.38,0.09,1.3
LP,0.39,0.09,1.3
LR,0.47,0.09,1.3
LR,0.58,0.09,1.3
LR,0.6,0.09,1.3
LR,0.69,0.09,1.3
LR,0.74,0.09,1.3
LP,0.42,0.1,1.3
LR,0.46,0.1,1.3
LR,0.48,0.1,1.3
LR,0.48,0.1,1.3
LR,0.5,0.1,1.3
LR,0.51,0.1,1.3
LR,0.53,0.1,1.3
LR,0.55,0.1,1.3
LR,0.8,0.1,1.3
LR,0.81,0.1,1.3
A,0.83,0.1,1.3
LP,0.42,0.11,1.3
LP,0.44,0.11,1.3
LP,0.44,0.11,1.3
LP,0.44,0.11,1.3
LR,0.5,0.11,1.3
A,0.85,0.11,1.3
A,0.91,0.11,1.3
A,0.91,0.11,1.3
A,1.28,0.11,1.3
A,1.33,0.11,1.3
UP,2.02,0.11,1.3
LR,0.56,0.12,1.3
LR,0.92,0.12,1.3
A,0.96,0.12,1.3
A,1.08,0.12,1.3
A,1.09,0.12,1.3
A,1.19,0.12,1.3
LR,0.63,0.16,1.3
LR,0.51,0.17,1.3
LR,0.59,0.17,1.3
LR,0.39,0.18,1.3
LR,0.52,0.18,1.3
LR,0.6,0.18,1.3
LR,0.63,0.18,1.3
LR,0.69,0.18,1.3
LR,0.84,0.18,1.3
LR,0.9,0.18,1.3
A,1.29,0.18,1.3
LR,0.54,0.19,1.3
LR,0.56,0.19,1.3
LR,0.56,0.19,1.3
LR,0.58,0.19,1.3
