Sample,diameter (mm),velocity (m/s),notes
Stinson Light,0.18,0.03,
Stinson Light,0.18,0.026,
Stinson Light,0.18,0.0375,
inside Golden Gate,2,0.1198,
inside Golden Gate,2,0.2236,
inside Golden Gate,1.41,0.1767,
inside Golden Gate,1.41,0.1329,
inside Golden Gate,1.41,0.1783,
inside Golden Gate,0.9,0.156,
inside Golden Gate,1.41,0.1128,
inside Golden Gate,1,0.1075,
inside Golden Gate,1.41,0.1285,
inside Golden Gate,0.7,0.1018,
inside Golden Gate,0.5,0.0687,
inside Golden Gate,0.5,0.0821,
Scaramento River Light,0.3,0.0373,
Scaramento River Light,0.3,0.0374,
Scaramento River Light,0.3,0.045,
Scaramento River Light,0.3,0.0414,
Scaramento River Light,0.3,0.0404,
Scaramento River Light,0.3,0.0454,
Scaramento River Light,0.3,0.0422,
Scaramento River Light,0.3,0.043,
Scaramento River Light,0.3,0.0409,
Scaramento River Light,0.3,0.0378,
rodeo b (>0.7mm),5,0.29,iffy
rodeo b (>0.7mm),3,0.18,good one!
rodeo b (>0.7mm),6,0.18,disc shaped
rodeo b (>0.7mm),4,0.27,
rodeo b (>0.7mm),3.5,0.24,
rodeo b (>0.7mm),5,0.74,
rodeo b (>0.7mm),5,0.25,
rodeo b (>0.7mm),6,0.19,
rodeo b (>0.7mm),4,0.29,too short?
rodeo b (>0.7mm),4,0.24,
rodeo b (>0.7mm),3,0.22,
rodeo b (>0.7mm),4,0.3,accurate--very round
rodeo b (>0.7mm),3,0.22,
Rodeo Beach,4,0.241337386,
Rodeo Beach,1,0.17112069,
Rodeo Beach,4,0.246583851,
Rodeo Beach,3.5,0.262913907,
Rodeo Beach,3.5,0.237724551,
Rodeo Beach,3,0.193658537,
Rodeo Beach,3,0.1588,
Rodeo Beach,3.5,0.212299465,
Rodeo Beach,3.5,0.230813953,
North Point Reyes,2,0.156538462,
North Point Reyes,1,0.158984375,
North Point Reyes,0.5,0.119005848,
North Point Reyes,0.75,0.108823529,
North Point Reyes,1,0.123708207,
North Point Reyes,1.1,0.169583333,
North Point Reyes,0.6,0.07537037,
North Point Reyes,0.5,0.106266319,
North Point Reyes,0.3,0.067161716,
North Point Reyes,0.7,0.141811847,
